arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_drop_tables,1,1,1,2,2,3,0,3.0,1.0,3.0,0.1667,0.001
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_rename_tables,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_change_table_schemas,1,1,1,2,2,3,0,3.0,1.0,3.0,0.1667,0.001
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_add_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_drop_columns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_alter_columns,4,6,4,8,10,12,23.5098,39.8631,2.6667,106.3017,5.9056,0.0133
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_rename_columns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation_legacy.py,funcao,deserialise_legacy_params,2,14,9,18,16,27,55.303,108.0,1.2857,138.8571,7.7143,0.036
piccolo/apps/migrations/auto/serialisation.py,funcao,warn_if_is_conflicting_with_global_name,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,__new__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,get_unique_class_attribute_values,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/migrations/auto/serialisation.py,funcao,merge_class_attributes,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,get_column_class_attributes,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/migrations/auto/serialisation.py,funcao,warn_if_is_conflicting_name,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,is_conflicting_name,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,warn_if_are_conflicting_objects,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,__post_init__,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
piccolo/apps/migrations/auto/serialisation.py,funcao,__repr__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,__hash__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,__lt__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,__le__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,__gt__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,__ge__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,check_equality,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/migrations/auto/serialisation.py,funcao,__eq__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,table_class_name,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_builtin,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_column,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_default,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_datetime,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_uuid,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_decimal,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_enum_instance,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_enum_type,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_function,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_lazy_table_ref,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_table_class,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,_handle_plain_class,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/apps/migrations/auto/serialisation.py,funcao,serialise_params,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/serialisation.py,funcao,deserialise_params,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
piccolo/apps/migrations/auto/migration_manager.py,funcao,append,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/migration_manager.py,funcao,for_table_class_name,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
